anquancaozuo 安全操作
gongyaojiami 公钥加密
gongyaomima 公钥密码
gongyongshujuwang 公用数据网
gongyouchengyuan 公有成员
gongyouyu 公有域
gonghao 功耗
gonglvmidu 功率密度
gongnengbujian 功能部件
gongnengceshi 功能测试
gongnengcunchuqi 功能存储器
gongnengfenjie 功能分解
gongnengguzhang 功能故障
gongnengguiyue 功能规约
gongnengkuai 功能块
gongnengmoxing 功能模型
gongnengruanpan 功能软盘
gongnengsheji 功能设计
gongnengxing 功能性
gongnengxuqiu 功能需求
gongnengyufa 功能语法
gongnengyuyanxue 功能语言学
gongjichengxu 攻击程序
gongmoeliucheng 共模扼流程
gongshengjuzhen 共生矩阵
gongxiangbaiban 共享白板
gongxiangbianliang 共享变量
gongxiangcunchuqi 共享存储器
gongxiangduan 共享段
gongxiangruanjian 共享软件
gongxiangsuo 共享锁
gongxiangwenjian 共享文件
gongxiangxuniqu 共享虚拟区
gongxiangyebiao 共享页表
gongfang 供方
gongyingguocheng 供应过程
goucifa 构词法
goujianbiancheng 构件编程
goujiancunchuku 构件存储库
goujianduixiang 构件对象
goujianku 构件库
goujiankuai 构件块
goujiantu 构件图
goujianyufa 构件语法
gouzaochengxu 构造程序
gouzaofangfa 构造方法
gouzaohanshu 构造函数
gouzaojihe 构造几何
gouzaoqi 构造器
gouzaoxing 构造型
guge 谷歌
gujiadaima 骨架代码
gujiahua 骨架化
gushidayinji 鼓式打印机
gushisaomiaoyi 鼓式扫描仪
gudingcunchuqi 固定存储器
gudingduanyu 固定短语
gudingguzhang 固定故障
gudingxingguzhang 固定型故障
gudingxingcuowu 固定性错误
gudingzichang 固定字长
guhua 固化
gujian 固件
gutaicunchuqi 固态存储器
gutaipan 固态盘
guyouduoyixing 固有多义性
guyouxiandianrong 固有线电容
gushifenxi 故事分析
guzhanganquan 故障安全
guzhangbaorong 故障包容
guzhangbaoxian 故障保险
guzhangbimian 故障避免
guzhangceshi 故障测试
guzhangcharu 故障插入
guzhangchazhao 故障查找
guzhangchenmo 故障沉默
guzhangchuli 故障处理
guzhangcidian 故障辞典
guzhangdengxiao 故障等效
guzhangdingwei 故障定位
guzhangdongjie 故障冻结
guzhangfangwen 故障访问
guzhangfenxi 故障分析
guzhangfugai 故障覆盖
guzhangfugailv 故障覆盖率
guzhanggeli 故障隔离
guzhanghuifu 故障恢复
guzhangjilu 故障记录
guzhangjiance 故障检测
guzhangjinbi 故障禁闭
guzhangjuzhen 故障矩阵
guzhangkongzhi 故障控制
guzhangleibie 故障类别
guzhangmoni 故障模拟
guzhangmoxing 故障模型
guzhangpingbi 故障屏蔽
guzhangqiehuan 故障切换
guzhangruohua 故障弱化
guzhangsabo 故障撒播
guzhangshijian 故障时间
guzhangshousuo 故障收缩
guzhangshufenxi 故障树分析
guzhangtezheng 故障特征
guzhangwuai 故障无碍
guzhangzhenduan 故障诊断
guzhangzhipei 故障支配
guzhangzhuru 故障注入
guaqijincheng 挂起进程
guaqishijian 挂起时间
guaqiyuanyu 挂起原语
guaqizhuangtai 挂起状态
guanjianchengdu 关键程度
guanjianci 关键词
guanjianjisuan 关键计算
guanjianlujing 关键路径
guanjianzhen 关键帧
guanjianzi 关键字
guanjiedian 关节点
guanlianchuliji 关联处理机
guanlianjuzhen 关联矩阵
guanlianshixiao 关联失效
guanxidaishu 关系代数
guanxiluoji 关系逻辑
guanxishujuku 关系数据库
guanxiwang 关系网
guanxixitong 关系系统
guanxiyansuan 关系演算
guanceqi 观测器
guanchaxuexi 观察学习
guandaotongbu 管道同步
guandaowenjian 管道文件
guanlichengxu 管理程序
guanliguocheng 管理过程
guanlijisuanji 管理计算机
guanlikongzhi 管理控制
guanlilicheng 管理例程
guanlixinxixitong 管理信息系统
guanxingju 惯性矩
guanyongxingcidian 惯用型词典
guangbi 光笔
guangbiao 光标
guangciruanpan 光磁软盘
guangcunchuqi 光存储器
guangdai 光带
guangdie 光碟
guangdieku 光碟库
guangdiequdongqi 光碟驱动器
guangdiecifu 光碟伺服
guangdiecifuqi 光碟伺服器
guangdieta 光碟塔
guangdiezhenlie 光碟阵列
guangduxue 光度学
guanggeliqi 光隔离器
guangguijianju 光轨间距
guangjixieshubiao 光机械鼠标
guangjisuanji 光计算机
guangjilu 光记录
guangjilujiezhi 光记录介质
guangliangdu 光亮度
guangliu 光流
guangliuchang 光流场
guangneng 光能
guangniu 光钮
guangpan 光盘
guangqiang 光强
guangshansaomiao 光栅扫描
guangshanxianshi 光栅显示
guangshubiao 光鼠标
guangshun 光顺
guangshunxing 光顺性
guangqian 光纤
guangxiangenzong 光线跟踪
guangxiantoushe 光线投射
guangxianzhuizong 光线追踪
guangxuetuxiang 光学图像
guangzhaomoxing 光照模型
guangbodizhi 广播地址
guangduyouxian 广度优先
guangyixulieji 广义序列机
guangyuwang 广域网
guibing 归并
guibingcharu 归并插入
guibingpaixu 归并排序
guibingsaomiaofa 归并扫描法
guidangwenjian 归档文件
guijie 归结
guijieyuanli 归结原理
guijiezhuti 归结主体
guiling 归零
guilingzhi 归零制
guinaduanyan 归纳断言
guinaduanyanfa 归纳断言法
guinafanhua 归纳泛化
guinagongli 归纳公理
guinaluoji 归纳逻辑
guinamingti 归纳命题
guinatuili 归纳推理
guinaxuexi 归纳学习
guiyue 归约
guiyueji 归约机
guibiao 龟标
guicheng 规程
guifanhua 规范化
guifanhuayuyan 规范化语言
guifanming 规范名
guigehua 规格化
guigehuachuli 规格化处理
guigeshuoming 规格说明
guihuaku 规划库
guihuashengcheng 规划生成
guihuashibai 规划失败
guihuaxitong 规划系统
guimoguji 规模估计
guiyue 规约
guiyueyanzheng 规约验证
guiyueyuyan 规约语言
guizeji 规则集
guizeku 规则库
guizetuili 规则推理
guizeziju 规则子句
guibianyiqi 硅编译器
guidaokongzhi 轨道控制
guijiquxian 轨迹曲线
gundongtiao 滚动条
guntonghuituji 滚筒绘图机
guofangkejidaxue 国防科技大学
guofangkejidaxuechubanshe 国防科技大学出版社
guofangkejidaxueruanjianxueyuan 国防科技大学软件学院
guochengchengxusheji 过程程序设计
guochengfenxi 过程分析
guochengkongzhi 过程控制
guochengluoji 过程逻辑
guochengmoxing 过程模型
guochengshuju 过程数据
guochengtongbu 过程同步
guochengxingzhishi 过程性知识
guochengyuyan 过程语言
guochengyuyi 过程语义
guochengzhonggou 过程重构
guochong 过冲
guoduqumian 过渡曲面
guoduquxian 过渡曲线
guoduxiaoguo 过渡效果
guokong 过孔
guolingjianceqi 过零检测器
guoqijianchadian 过期检查点
guoqishuju 过期数据
haerbingongyedaxue 哈尔滨工业大学
haerbingongyedaxuechubanshe 哈尔滨工业大学出版社
haerbingongyedaxueruanjianxueyuan 哈尔滨工业大学软件学院
hafodaxue 哈佛大学
hamidunlujing 哈密顿路径
hailiangcunchuqi 海量存储器
hanshudiaoyong 函数调用
hanshuyilai 函数依赖
hanka 汉卡
hanyupinyin 汉语拼音
hanzibianma 汉字编码
hanzibujian 汉字部件
hanzidayinji 汉字打印机
hanziji 汉字集
hanzijianzifa 汉字检字法
hanzijianpan 汉字键盘
hanzijiaohuanma 汉字交换码
hanzijiegou 汉字结构
hanzineima 汉字内码
hanziquweima 汉字区位码
hanzishengchengqi 汉字生成器
hanzishibie 汉字识别
hanzishuchu 汉字输出
hanzishuru 汉字输入
hanzishuruma 汉字输入码
hanzishuxing 汉字属性
hanzitezheng 汉字特征
hanzixinxijiaohuanma 汉字信息交换码
hanzixinxitezhengbianma 汉字信息特征编码
hanziyangben 汉字样本
hanziyangbenku 汉字样本库
hanzizhongduan 汉字终端
hanzizixingku 汉字字形库
hanzizixingma 汉字字形码
hanpan 焊盘
xingbawei 行八位
xingchengbianma 行程编码
xingchengchangdu 行程长度
xingdizhi 行地址
xingdizhixuantong 行地址选通
xingmidu 行密度
xingpin 行频
xingsaomiao 行扫描
xingshidayinji 行式打印机
xingshou 行首
xingweidonghua 行为动画
xingweimoxing 行为模型
xingweizhuti 行为主体
xingweipianxie 行位偏斜
xingxuan 行选
xingyima 行译码
xingzhenganquan 行政安全
hebingsaomiaofa 合并扫描法
hechengbujian 合成部件
hechengci 合成词
hechenghuanjing 合成环境
hechengqi 合成器
hechengshijie 合成世界
hechengshipin 合成视频
hefaxingchexiao 合法性撤消
hefaxingquxiao 合法性取消
hegexingceshi 合格性测试
hequchaxun 合取查询
hequfanshi 合取范式
heshigongshi 合式公式
hetongwang 合同网
heyi 合一
heyibujian 合一部件
heyizi 合一子
hezuozhuti 合作主体
hecigongzhen 核磁共振
hejianquan 核基安全
hexinyingxiangku 核心映像库
heshicidai 盒式磁带
heshicipan 盒式磁盘
hefumanbianma 赫夫曼编码
heibancelve 黑板策略
heibanjiegou 黑板结构
heibanmoxing 黑板模型
heibanxitong 黑板系统
heibanxiediao 黑板协调
heibanxieshang 黑板协商
heidiping 黑底屏
heidong 黑洞
heihe 黑盒
heiheceshi 黑盒测试
heike 黑客
heixiang 黑箱
heixiangceshi 黑箱测试
heixinhao 黑信号
hengdingbitelv 恒定比特率
hengjiaosudu 恒角速度
hengxiansudu 恒线速度
hengkuabian 横跨边
hengpai 横排
hengxiang 横向
hengxiangjianyan 横向检验
hengxiangsaomiao 横向扫描
hongbingdu 宏病毒
hongchulichengxu 宏处理程序
hongjiedian 宏结点
hongkuai 宏块
honglilun 宏理论
hongrenwuhua 宏任务化
hongyuyan 宏语言
hongzhiling 宏指令
houbeiruanpan 后备软盘
houbeixitong 后备系统
houchuli 后处理
houduanwang 后端网
houji 后集
houjibiaoshi 后继标识
houjicong 后继丛
houjizhan 后继站
houjiaanquan 后加安全
houjinxianchu 后进先出
houmen 后门
houtai 后台
houtaifenqu 后台分区
houtaifenye 后台分页
houtaijiankong 后台监控
houtaijiankongchengxu 后台监控程序
houtaiqu 后台区
houtairenwu 后台任务
houtaizuoye 后台作业
houtongbuma 后同步码
houxuanjian 候选键
houxuanjie 候选解
hujiaokongzhi 呼叫控制
hujiaozhongdingxiang 呼叫重定向
hunandaxue 湖南大学
hunandaxuechubanshe 湖南大学出版社
hunandaxueruanjianxueyuan 湖南大学软件学院
hucaozuoxing 互操作性
huchibianqian 互斥变迁
hugongzuo 互工作
huhuan 互换
huhuandianlu 互换电路
huhuanxing 互换性
hulianwang 互联网
hulianwanganquan 互联网安全
hutong 互通
huxianghuaiyi 互相怀疑
huxinxi 互信息
huzhi 互指
huazhongkejidaxue 华中科技大学
huazhongkejidaxuechubanshe 华中科技大学出版社
huazhongkejidaxueruanjianxueyuan 华中科技大学软件学院
huazhonghua 画中画
huanzhuangwang 环状网
huanchongchi 缓冲池
huanchongcunchuqi 缓冲存储器
huanchongjicunqi 缓冲寄存器
huanchongqi 缓冲器
huanchongqisuanfa 缓冲器算法
huanchongqufenpei 缓冲区分配
huanchongquguanli 缓冲区管理
huancun 缓存
huanxing 唤醒
huanxingdengdai 唤醒等待
huanxingyuanyu 唤醒原语
huanxingzifu 唤醒字符
huanchu 换出
huanxing 换行
huanjin 换进
huanming 换名
huanminghuanchongqi 换名缓冲器
huanye 换页
huidu 灰度
huidubianhuan 灰度变换
huiduji 灰度级
huidutuxiang 灰度图像
huiduyuzhi 灰度阈值
huifukuai 恢复块
huifunengli 恢复能力
huifushanchu 恢复删除
huidamoshi 回答模式
huitanli 回弹力
huiguiceshi 回归测试
huijiao 回叫
huilu 回路
huisaoshijian 回扫时间
huishouchengxu 回收程序
huisong 回送
huisongceshi 回送测试
huisongfangshi 回送方式
huisongguanbi 回送关闭
huisongjianyan 回送检验
huisongkaifang 回送开放
huisu 回溯
huitui 回退
huibian 汇编
huibianchengxu 汇编程序
huibianqi 汇编器
huibianyuyan 汇编语言
huidian 汇点
huiliutiao 汇流条
huihuaceng 会话层
huihuamiyao 会话密钥
huihuashifenshi 会话式分时
huihuaxingyewu 会话型业务
huimianshijian 会面时间
huiyilianjie 会议连接
huitu 绘图
huituji 绘图机
huizhi 绘制
hundun 混沌
hundundonglixue 混沌动力学
hunhebianma 混合编码
hunhejisuanji 混合计算机
hunhejiegou 混合结构
hunhemoni 混合模拟
hunhexitong 混合系统
hunhezhuti 混合主体
hunluanxing 混乱性
hunyinqi 混音器
huobianqian 活变迁
huodongdiban 活动地板
huodongfenqu 活动分区
huodongjincheng 活动进程
huodongqudongqi 活动驱动器
huodongtu 活动图
huodongwenjian 活动文件
huodongye 活动页
huodongzhuti 活动主体
huodongzhuangtai 活动状态
huohuabianbiao 活化边表
huosuo 活锁
huobanxitong 伙伴系统
huofeimen 或非门
huomen 或门
huoquguocheng 获取过程
jidashidayinji 击打式打印机
jidazaosheng 击打噪声
jijianyanzheng 击键验证
jidianyitihua 机电一体化
jidinghe 机顶盒
jifangguanli 机房管理
jifangweihu 机房维护
jigui 机柜
jimiji 机密级
jiqicidian 机器词典
jiqifaxian 机器发现
jiqifanyi 机器翻译
jiqima 机器码
jiqiren 机器人
jiqirengongcheng 机器人工程
jiqirenxue 机器人学
jiqishijue 机器视觉
jiqixuexi 机器学习
jiqiyuyan 机器语言
jiqiyunxing 机器运行
jiqizhiling 机器指令
jiqizhineng 机器智能
jiqizhouqi 机器周期
jiqun 机群
jixiang 机箱
jixieshifanyi 机械式翻译
jixieshou 机械手
jixieshubiao 机械鼠标
jixiexuexi 机械学习
jizhi 机制
jizhufanyi 机助翻译
jizhurenyi 机助人译
jifenkongzhi 积分控制
jimushijie 积木世界
jibencaozuo 基本操作
jibenci 基本词
jibenguicheng 基本规程
jibenji 基本集
jibenkuai 基本块
jibenmiyao 基本密钥
jibenpingtai 基本平台
jibenshurushuchu 基本输入输出
jibenshurushuchuxitong 基本输入输出系统
jibenwangxitong 基本网系统
jibenyouxianji 基本优先级
jibiao 基表
jichubujian 基础部件
jichulei 基础类
jichusheshi 基础设施
jichuwang 基础网
jidaichuanshu 基带传输
jidaiju 基带局
jihanshu 基函数
jishupaixu 基数排序
jiwang 基网
jixian 基线
jiye 基页
jiyugoujian 基于构件
jiyugoujiande 基于构件的
jiyuguize 基于规则
jiyuguizede 基于规则的
jiyujieshi 基于解释
jiyujieshide 基于解释的
jiyushili 基于实例
jiyushilide 基于实例的
jiyutezheng 基于特征
jiyutezhengde 基于特征的
jizhijicunqi 基址寄存器
jizhun 基准
jizhunceshi 基准测试
jizhunchengxu 基准程序
jizhundianyuan 基准电源
jizhunma 基准码
jizhunwangluo 基准网络
jizhunxian 基准线
jiziju 基子句
jibian 畸变
jiguangcunchuqi 激光存储器
jiguangyinshuaji 激光印刷机
jiguangyingdie 激光影碟
jiguangzhaopaiji 激光照排机
jihuo 激活
jihuohanshu 激活函数
jihuojizhi 激活机制
jikong 级控
jilian 级联
jichajiyong 即插即用
jichajiyongde 即插即用的
jishijieyasuo 即时解压缩
jishiyasuo 即时压缩
jidian 极点
jixianyouxianji 极限优先级
jicheng 集成
jichengdianyuan 集成电源
jichengdu 集成度
jichengzidonghua 集成自动化
jifuxiaoying 集肤效应
jiheyuyan 集合语言
jisankongzhi 集散控制
jituankouling 集团口令
jixianqi 集线器
jizhongdianrong 集中电容
jizhongfuzai 集中负载
jizhongkongzhi 集中控制
jizhongshiwang 集中式网
jihebianhuan 几何变换
jihebianxing 几何变形
jihelianxuxing 几何连续性
jihepingjun 几何平均
jihexiaozheng 几何校正
jihezaoxing 几何造型
jiliangyuyanxue 计量语言学
jishiqi 计时器
jishiye 计时页
jishuqi 计数器
jishuxuanzehu 计数选择弧
jisuanbaofeng 计算包封
jisuanfuzadu 计算复杂度
jisuanfuzaxing 计算复杂性
jisuanjianquan 计算机安全
jisuanjibingdu 计算机病毒
jisuanjichanye 计算机产业
jisuanjichengxu 计算机程序
jisuanjidai 计算机代
jisuanjidonghua 计算机动画
jisuanjifanzui 计算机犯罪
jisuanjigongcheng 计算机工程
jisuanjiguanli 计算机管理
jisuanjihua 计算机化
jisuanjijishu 计算机技术
jisuanjikexue 计算机科学
jisuanjikongzhi 计算机控制
jisuanjileixing 计算机类型
jisuanjilijie 计算机理解
jisuanjiluanyong 计算机乱用
jisuanjiruanjian 计算机软件
jisuanjishixian 计算机实现
jisuanjishijue 计算机视觉
jisuanjishuju 计算机数据
jisuanjishukong 计算机数控
jisuanjitixijiegou 计算机体系结构
jisuanjituxingxue 计算机图形学
jisuanjiwangluo 计算机网络
jisuanjiweihuyuguanli 计算机维护与管理
jisuanjixitong 计算机系统
jisuanjixiaqi 计算机下棋
jisuanjixianshi 计算机显示
jisuanjixingpu 计算机型谱
jisuanjixingneng 计算机性能
jisuanjiyishu 计算机艺术
jisuanjiyimiao 计算机疫苗
jisuanjiyingyong 计算机应用
jisuanjiyingjian 计算机硬件
jisuanjiyuyan 计算机语言
jisuanjizhitu 计算机制图
jisuanjiziyuan 计算机资源
jisuanjizi 计算机字
jisuanjihe 计算几何
jisuanjishu 计算技术
jisuanlingzhishi 计算零知识
jisuanluoji 计算逻辑
jisuanqi 计算器
jisuanshiyong 计算使用
jisuanxitong 计算系统
jisuanyuyanxue 计算语言学
jisuanyuyixue 计算语义学
jisuanyuyinxue 计算语音学
jisuanzhineng 计算智能
jishukexingxing 技术可行性
jishuzhuguan 技术主管
jixian 迹线
jiyuyan 迹语言
jicunqi 寄存器
jicunqichangdu 寄存器长度
jicunqizhese 寄存器着色
jishengdianrong 寄生电容
jishengzhendang 寄生振荡
jiabiaotu 加标图
jiabobianhuan 加博变换
jiafaqi 加法器
jiajichuansong 加急传送
jiajianqi 加减器
jialiang 加亮
jiami 加密
jiamisuanfa 加密算法
jiamixieyi 加密协议
jiaquantu 加权图
jiasubi 加速比
jiasuceshi 加速测试
jiasudingli 加速定理
jiasujian 加速键
jiasushijian 加速时间
jiasuo 加锁
jiatingbangong 家庭办公
jiamaogongji 假冒攻击
jiase 假色
jiasheyanzheng 假设验证
jiatuoji 假脱机
jiatuojiduilie 假脱机队列
jiatuojiguanli 假脱机管理
jiatuojiwenjian 假脱机文件
jiatuojixitong 假脱机系统
jiatuojizuoye 假脱机作业
jiaxinhao 假信号
jiayantuili 假言推理
jiazhuanganzhuang 架装安装
jiazhuangjiegou 架装结构
jianfacuowu 间发错误
jiangejishiqi 间隔计时器
jianjiedizhi 间接地址
jianjiexunzhi 间接寻址
jianxidingli 间隙定理
jianxieguzhang 间歇故障
jianxieyi 间协议
jianrongjisuanji 兼容计算机
jianrongxing 兼容性
jianrongzifu 兼容字符
jiandukongzhi 监督控制
jianduxuexi 监督学习
jiankongchengxu 监控程序
jiankongfangshi 监控方式
jiankongrenwu 监控任务
jianshidingshiqi 监视定时器
jianshiqi 监视器
jianshixinyuan 监视信元
jianshizhuangtai 监视状态
jianqushebei 拣取设备
jianfaqi 减法器
jiansushijian 减速时间
jianzhenqi 减震器
jiancaiguocheng 剪裁过程
jianqiebianhuan 剪切变换
jianqu 剪取
jiantieban 剪贴板
jianchabiao 检查表
jianchachengxu 检查程序
jianchadian 检查点
jianchahe 检查和
jiancuo 检错
jiancuolicheng 检错例程
jiancuoma 检错码
jiancuotingji 检错停机
jiansuo 检索
jiansuoshu 检索树
jiansuoxingyewu 检索型业务
jianyanbanceshi 检验板测试
jianyanbuzhou 检验步骤
jianyanchengxu 检验程序
jianyandianlu 检验电路
jianyanjisuan 检验计算
jianyanlicheng 检验例程
jianyanma 检验码
jianyanqi 检验器
jianyanwei 检验位
jianyanxulie 检验序列
jianyanzhuangzhi 检验装置
jianyanzongxian 检验总线
jiandanduobianxing 简单多边形
jiandanlianbiao 简单链表
jiandanwang 简单网
jiandanyoujianchuansongxieyi 简单邮件传送协议
jianhuazi 简化字
jianjiexing 简洁性
jianma 简码
jianlishijian 建立时间
jianmo 建模
jianqiaodaxue 剑桥大学
jianbian 渐变
jianbiejiaohuan 鉴别交换
jianbieluoji 鉴别逻辑
jianbieshuju 鉴别数据
jianbietou 鉴别头
jianbiexinxi 鉴别信息
jiandingxuqiu 鉴定需求
jianma 键码
jianmao 键帽
jianpan 键盘
jianpandayinji 键盘打印机
jianwei 键位
jianweibiao 键位表
jianweibuju 键位布局
jianyuan 键元
jianyuanchuan 键元串
jianyuanji 键元集
jiangshouxuexi 讲授学习
jiangjihuifu 降级恢复
jiangjiyunxing 降级运行
jiangwei 降维
jiaochabianyi 交叉编译
jiaochacunchuqi 交叉存储器
jiaochacunqu 交叉存取
jiaochaganran 交叉感染
jiaochakaiguan 交叉开关
jiaochakaiguanwang 交叉开关网
jiaochalianjie 交叉连接
jiaochaouhe 交叉耦合
jiaochasousuo 交叉搜索
jiaocuolujing 交错路径
jiaocuoyinzi 交错因子
jiaofu 交付
jiaohu 交互
jiaohucuowu 交互错误
jiaohufangshi 交互方式
jiaohuguzhang 交互故障
jiaohujishu 交互技术
jiaohushebei 交互设备
jiaohushi 交互式
jiaohushichazhao 交互式查找
jiaohushichuli 交互式处理
jiaohushidianshi 交互式电视
jiaohushifenshi 交互式分时
jiaohushijixianqi 交互式集线器
jiaohushilunzheng 交互式论证
jiaohushipichuli 交互式批处理
jiaohushixieyi 交互式协议
jiaohushiyuyan 交互式语言
jiaohushizhengming 交互式证明
jiaohutu 交互图
jiaohuxingyewu 交互型业务
jiaohuyunzuo 交互运作
jiaohuzhuti 交互主体
jiaohuanji 交换机
jiaohuanma 交换码
jiaohuanpailie 交换排列
jiaohuanpaixu 交换排序
jiaohuanxianlu 交换线路
jiaohuanxudianlu 交换虚电路
jiaohuanxuniwang 交换虚拟网
jiaoyaochixitong 交钥匙系统
jiaoyudianbo 教育点播
jiaoseming 角色名
jiaosemoxing 角色模型
jiaoben 脚本
jiedian 节点
jiedianchazhi 节点插值
jiedianshanchu 节点删除
jieyuefashengqi 阶跃发生器
jieyuehanshu 阶跃函数
jiechudianzu 接触电阻
jiechuqiting 接触起停
jiedipingmian 接地平面
jiedixitong 接地系统
jiehe 接合
jiekou 接口
jiekouceshi 接口测试
jiekoufenxi 接口分析
jiekouguiyue 接口规约
jiekoujinghe 接口净荷
jiekoukaixiao 接口开销
jiekousulv 接口速率
jiekouxuqiu 接口需求
jiekouzhuti 接口主体
jieshouduan 接收端
jieshoumen 接收门
jieshouqi 接收器
jieshouzhengshi 接收证实
jieshouzhe 接受者
jieshouzhuangtai 接受状态
jiexian 接线
jielu 揭露
jiedian 结点
jiedianguanxidu 结点关系度
jiegouchongtu 结构冲突
jiegoucunchuqi 结构存储器
jiegouhuabaohu 结构化保护
jiegouhuafangfa 结构化方法
jiegouhuafenxi 结构化分析
jiegouhuaguiyue 结构化规约
jiegouhuasheji 结构化设计
jiegouliju 结构理据
jiegoutu 结构图
jiegouxing 结构性
jieshukuai 结束块
jiechu 截除
jieduanwucha 截断误差
jiemian 截面
jiemianquxian 截面曲线
jiechufenpei 解除分配
jiedachouqu 解答抽取
jiema 解码
jiemaqi 解码器
jieou 解耦
jieshi 解释
jieshichengxu 解释程序
jieshiqi 解释器
jieshu 解树
jiesuo 解锁
jietu 解图
jieyasuo 解压缩
jiedianchangshu 介电常数
jiediansunhao 介电损耗
jiezhi 介质
jiezhigeli 介质隔离
jiezhiguzhang 介质故障
jiezhizhuanhuan 介质转换
jiemian 界面
jiexianjinru 借线进入
jinshuhuakong 金属化孔
jinzitajiegou 金字塔结构
jinjiduandian 紧急断电
jinjikaitou 紧急开头
jinmiyizhixing 紧密一致性
jinzhiceshi 紧致测试
jinsisuanfa 近似算法
jinsituili 近似推理
jincheng 进程
jinchengbianqian 进程变迁
jinchengdiaodu 进程调度
jinchengjiantongxin 进程间通信
jinchengqianyi 进程迁移
jinchengtongbu 进程同步
jinchengyouxianji 进程优先级
jinchengzhuangtai 进程状态
jinhuacelve 进化策略
jinhuachengxu 进化程序
jinhuafazhan 进化发展
jinhuajizhi 进化机制
jinhuajisuan 进化计算
jinhuajiancha 进化检查
jinhuayouhua 进化优化
jinwei 进位
jinzhan 进栈
jinbi 禁闭
jinji 禁集
jinyongzifu 禁用字符
jinyongzuhe 禁用组合
jinzhibiao 禁止表
jinzhidianlu 禁止电路
jinzhimaichong 禁止脉冲
jinzhishuru 禁止输入
jinzhixinhao 禁止信号
jinzhizhongduan 禁止中断
jinzhizhuangtai 禁止状态
jingdianluoji 经典逻辑
jingjikexingxing 经济可行性
jingjimoxing 经济模型
jingyanfaze 经验法则
jingyanxitong 经验系统
jingdingwei 精定位
jinghua 精化
jinghuacelve 精化策略
jinghuazhunze 精化准则
jingjianzhiling 精简指令
jingwufenxi 景物分析
jinghe 净荷
jinghuadianyuan 净化电源
jingxiangcifu 径向伺服
jingzhengbianqian 竞争变迁
jingzhengwangluo 竞争网络
jingdianhuituji 静电绘图机
jingdianyinshuaji 静电印刷机
jingqidong 静启动
jingtaibangding 静态绑定
jingtaibianliang 静态变量
jingtaiceshi 静态测试
jingtaichengyuan 静态成员
jingtaichuliqifenpei 静态处理器分配
jingtaicunchufenpei 静态存储分配
jingtaicunchuqi 静态存储器
jingtaidiaodu 静态调度
jingtaifangfa 静态方法
jingtaifenxi 静态分析
jingtaihanshu 静态函数
jingtaihuanchong 静态缓冲
jingtaihuanchongqu 静态缓冲区
jingtaijianyan 静态检验
jingtaikuai 静态块
jingtailei 静态类
jingtailiushuixian 静态流水线
jingtaimaoxian 静态冒险
jingtaineibulei 静态内部类
jingtainiuxie 静态扭斜
jingtairongyu 静态冗余
jingtaishujuqu 静态数据区
jingtaishuaxin 静态刷新
jingtaiwangluo 静态网络
jingtaiyu 静态域
jingtaiyuming 静态域名
jingtaiyumingjiexi 静态域名解析
jingtaizhishi 静态知识
jingtaizhongdingwei 静态重定位
jingya 静压
jingzhituxiang 静止图像
jingmianfansheguang 镜面反射光
jingxiang 镜像
jiucuo 纠错
jiucuolicheng 纠错例程
jiucuoma 纠错码
jiuxu 就绪
jiuxuzhuangtai 就绪状态
jububianliang 局部变量
jubucunchu 局部存储
jubudengdaitu 局部等待图
jubuguzhang 局部故障
jubumoshi 局部模式
jubuqueding 局部确定
jubushixiao 局部失效
jubusisuo 局部死锁
jubuxing 局部性
jubuyingyong 局部应用
jubuzongxian 局部总线
jubuzuobiaoxi 局部坐标系
juyuwang 局域网
juyuwangdan 局域网单
juyuwangduobo 局域网多播
juyuwangduobodizhi 局域网多播地址
juyuwangguangbo 局域网广播
juyuwangjiaohuanji 局域网交换机
juyuwangwangguan 局域网网关
jupishu 橘皮书
jumiaoshuzi 矩描述子
jubing 句柄
jufa 句法
jufafanchou 句法范畴
jufafenxi 句法分析
jufaguanxi 句法关系
jufaguize 句法规则
jufajiegou 句法结构
jufalilun 句法理论
jufaqiyi 句法歧义
jufashengcheng 句法生成
jufashu 句法树
jufayuyixue 句法语义学
juxing 句型
juzipianduan 句子片段
jucibianzutou 巨磁变阻头
juxingjisuanji 巨型计算机
jujuefuwu 拒绝服务
julixiangliang 距离向量
jucusuoyin 聚簇索引
juguang 聚光
jujiaocifu 聚焦伺服
julei 聚类
juleifenxi 聚类分析
juzhisedai 聚酯色带
juanhuichuanbo 卷回传播
juanhuihuifu 卷回恢复
juanji 卷积
juanjihe 卷积核
juecebiao 决策表
jueceguize 决策规则
jueceguocheng 决策过程
juecehanshu 决策函数
juecejihua 决策计划
juecejuzhen 决策矩阵
juecekongjian 决策空间
juecekongzhi 决策控制
juecelun 决策论
juecemoxing 决策模型
jueceshu 决策树
jueceshuxitong 决策树系统
juecewenti 决策问题
juecezhiding 决策制定
juecezhunze 决策准则
jueduidizhi 绝对地址
jueduifenbianlv 绝对分辨率
juemiji 绝密级
junhengqi 均衡器
kanaijimeilongdaxue 卡耐基梅隆大学
kapianduruji 卡片读入机
kashicidai 卡式磁带
kazhi 卡纸
kaichuangkou 开窗口
kaifafangfaxue 开发方法学
kaifagongjuxiang 开发工具箱
kaifaguiyue 开发规约
kaifaguocheng 开发过程
kaifahuanjing 开发环境
kaifajinzhan 开发进展
kaifazhe 开发者
kaifazhouqi 开发周期
