name=拼音
key=abcdefghijklmnopqrstuvwxyz
len=63
wildcard=?
pinyin=1
split='
hint=0
user=pinyin.usr
assist=mb/yong.txt 2
dangqianshijia 当前时间
dangqiany 当前页
dangqianyongh 当前用户
dangqianyouxianj 当前优先级
daoba 盗版
daobanruanjia 盗版软件
daochubia 导出表
daochuguiz 导出规则
daochushuipingfenpia 导出水平分片
daochuwenjia 导出文件
daoda 倒带
daoha 倒焊 盗号
daohan 导航
daojianchuanra 道间串扰
daomid 道密度
daopaisuoyi 倒排索引
daoruguiyu 导入规约
daoruhedaochushuj 导入和导出数据
daoshuguj 导数估计
daoyongdianhuaxianluzh 盗用电话线路者
daozhengsh 到整数
dengchangbianm 等长编码
dengda 等待
dengdaibimia 等待避免
dengdaibia 等待表
dengdaiduili 等待队列
dengdaishijia 等待时间
dengdaiyincan 等待隐藏
dengdaizhuangta 等待状态
dengj 等级
dengjiabiaosh 等价标识
dengjiabiaoshibianlian 等价标识变量
dengjiabiaozh 等价标识
dengjiabiaozhibianlian 等价标识变量
dengjiaguanx 等价关系
dengjiawent 等价问题
dengjiayunsua 等价运算
dengliz 等离子
denglianji 等联结
dengl 登录
denglujiaobe 登录脚本
denglulujingjianc 登陆路经检测
dengshiluoj 等式逻辑
dengshixiton 等式系统
dengxi 邓欣 邓欣
dengzhilianji 等值连接
dengzhixiant 等值线图
dengzhoucetouyin 等轴测投影
diba 底板
dichengbenzidonghu 低成本自动化
didianpingzhuangtaitexin 低电平状态特性
didianyachadongxinha 低电压差动信号
didianyazhengdianyuanshejiouheluoj 低电压正电源射极耦合逻辑
diercengsuidaoxiey 第二层隧道协议
diercengzhuanfaxiey 第二层转发协议
dierdaijisuanj 第二代计算机
dierdaiyuya 第二代语言
dierfansh 第二范式
dierzhexunixiansh 第二者虚拟现实
difangzhucejigo 地方注册机构
digongha 低功耗
diguichaxu 递归查询
diguidingl 递归定理
diguifangf 递归方法
diguiguj 递归估计
diguihansh 递归函数
diguijisua 递归计算
diguikemeijuyuya 递归可枚举语言
diguikuaibianm 递归块编码
diguilichen 递归例程
diguisuanf 递归算法
diguixianglian 递归向量
diguixiangliangzhilin 递归向量指令
diguiyuya 递归语言
diguizhuanyiwanglu 递归转移网络
dijigeshihu 低级格式化
dijihuch 低级互斥
dijiyuya 低级语言
dijiekongzh 递阶控制
dikaerj 笛卡尔积 笛卡儿积
dilixinxixiton 地理信息系统
diouh 低耦合
diqiud 地球地
disanda 第三代
disandaijisuanj 第三代计算机
disandaiyuya 第三代语言
disanfansh 第三范式
disanfan 第三方
disanfangbaoguandemim 第三方保管的密码
disanfangjiamibiaozhu 第三方加密标准
disanfangmiya 第三方密钥
dishangxia 地上线
disidaijisuanj 第四代计算机
disidaiyuya 第四代语言
disifansh 第四范式
ditonglvboq 低通滤波器
dituiguanx 递推关系
dituilianxiangpinyinshuruf 递推联想拼音输入法
diwan 地网
diwudaijisuanj 第五代计算机
diwudaiyuya 第五代语言
diwufansh 第五范式
diyidaijisuanj 第一代计算机
diyidaiyuya 第一代语言
diyifansh 第一范式
dizhencengxichengxian 地震层析成像
dizh 地址
dizhibianhua 地址变换
dizhichaoza 地址超载
dizhidaihua 地址代换
dizhifany 地址翻译
dizhigesh 地址格式
dizhiguanl 地址管理
dizhijicunq 地址寄存器
dizhijiex 地址解析
dizhijiexixiey 地址解析协议
dizhijiexixieyiqipia 地址解析协议欺骗
dizhikongjia 地址空间
dizhilansousu 地址栏搜索
dizhiqipia 地址欺骗
dizhitoud 地址投毒
dizhiyanm 地址掩码
dizhiyimaq 地址译码器
dizhiyingsh 地址映射
dizhiyuyu 地址预约
dizhizidua 地址字段
dizhizongxia 地址总线
dianbaom 电报码
diancifush 电磁辐射
diancishidayinto 电磁式打印头
dianda 点刀
diandaodia 点到点
diandaodiansuidaoxiey 点到点隧道协议
diandaodianxiey 点到点协议
diandianton 点点通
diandubaomocipa 电镀薄膜磁盘
diandubomocipa 电镀薄膜磁盘
diandumopa 电镀膜盘
dianduidianlianji 点对点连接
dianduidiansuidaoxiey 点对点隧道协议
dianduidiantongxi 点对点通信
dianduidianxiey 点对点协议
dianduiduodiantongxi 点对多点通信
dianfenshijinzhijif 点分十进制记法
dianfenxingsh 点分形式
dianguangyua 点光源
dianheouhecunchuq 电荷耦合存储器
dianhuajiaohuanj 电话交换机
dianj 点集
dianjishebe 点击设备
dianjiansu 点检索
diankejianxin 点可见性
dianko 电口
diankouzhuanguangko 电口转光口
dianliuxingluoj 电流型逻辑
dianliuyua 电流源
dianlubaohuq 电路保护器
dianlucen 电路层
dianluchuansongmosh 电路传送模式
dianlujiwanggua 电路级网关
dianlujiaohua 电路交换
dianlujiaohuangongyongshujuwan 电路交换公用数据网
dianlujiaohuanshujuwan 电路交换数据网
dianlujiaohuanwan 电路交换网
dianluneicesh 电路内测试
dianpingmingansaomiaoshej 电平敏感扫描设计
dianqigongchengsh 电气工程师
dianqixingnen 电气性能
dianrongshichumopin 电容式触摸屏
dianshihuiy 电视会议
dianshiqian 电视墙
dianwe 电文
dianxinha 电信号
dianxingshuzishuiyinsuanf 典型数字水印算法
dianyadianliuquxia 电压电流曲线
dianyajieyu 电压阶跃
dianyecifudianj 电液伺服电机
dianyuanfenpeixiton 电源分配系统
dianyuangenzon 电源跟踪
dianyuankongzhiweim 电源控制微码
dianyuanpingm 电源屏幕
dianyuanzongxia 电源总线
dianyunsua 点运算
dianzhendayinj 点阵打印机
dianzhenjish 点阵技术
dianzhenjingd 点阵精度
dianzhibiansexianshiq 电致变色显示器
dianzhifaguangxianshiq 电致发光显示器
dianzhish 电纸书
dianzhuanghu 点状化
dianzhuoshiyinshuaj 电灼式印刷机
dianzibiaog 电子表格
dianzichuba 电子出版
dianzichubanw 电子出版物
dianzichubanxiton 电子出版系统
dianzie 电子耳
dianzifukua 电子付款
dianzifuw 电子服务
dianzigua 电子管
dianzihanjia 电子函件
dianzihanjiandizh 电子函件地址
dianzihuiyixiton 电子会议系统
dianzijisuanj 电子计算机
dianzijiansh 电子监视
dianzijinron 电子金融
dianzimeit 电子媒体
dianziqijia 电子器件
dianziqipia 电子欺骗
dianziqianmin 电子签名
dianziqingba 电子情报
dianzishangw 电子商务
dianzishebe 电子设备
dianzishejiguiz 电子设计规则
dianzishejizidonghu 电子设计自动化
dianzishenr 电子渗入
dianzishichan 电子市场
dianzish 电子书
dianzishujujiaohua 电子数据交换
dianzishujujiaohuanxiaox 电子数据交换消息
dianzishuzijifenq 电子数字积分器
dianzitushugua 电子图书馆
dianziwenbe 电子文本
dianzixipishijit 电子嬉皮士集体
dianzixiaoxichul 电子消息处理
dianziyinhangyew 电子银行业务
dianziyoujia 电子邮件
dianziyoujianbiemin 电子邮件别名
dianziyoujiandizh 电子邮件地址
dianziyoujiangongj 电子邮件攻击
dianziyoujianqipia 电子邮件欺骗
dianziyoujianweiza 电子邮件伪造
dianziyuanmash 电子源码书
dianzizazh 电子杂志
dianzizhaoxiangyinshuaj 电子照相印刷机
dianzizhengj 电子证据
dianzizijinzhuanzhangxiton 电子资金转账系统
dianzufuza 电阻负载
dianzupa 电阻排
dianzusunha 电阻损耗
dianzuyinxiandianga 电阻引线电感
diaod 调度
diaodubia 调度表
diaoducelu 调度策略
diaoduchengx 调度程序
diaoduchengxudengdaiduili 调度程序等待队列
diaoduchengxugongzuoq 调度程序工作区
diaoduduili 调度队列
diaodufangsh 调度方式
diaoduguiz 调度规则
diaodujiankongjisuanj 调度监控计算机
diaodumokua 调度模块
diaodusuanf 调度算法
diaoduwent 调度问题
diaoduxinxich 调度信息池
diaoduziyua 调度资源
diaoduzuoy 调度作业
diaoseda 调色刀
diaosuqumia 雕塑曲面
diaoxia 掉线
diaoyon 调用
diaoyongchengx 调用程序
diaoyongzh 调用者
diaoy 钓鱼
diaoyugongj 钓鱼攻击
diaoyuzh 钓鱼者
dieda 迭代
diedaidiaodufenpeifangf 迭代调度分配方法
diedaigaiji 迭代改进
diedaiq 迭代器
diedaisousu 迭代搜索
dieji 叠加
diepianshicito 叠片式磁头
dieshipaili 蝶式排列
diexin 蝶形
dieyi 叠印
dingbibianhua 定比变换
dingchangd 定长的
dingdianfuga 顶点覆盖
dingdianhunh 顶点混合
dingdianjisuanj 定点计算机
dingdiansh 定点数
dingdianyunsua 定点运算
dingjijiedia 顶级结点
dingjief 定界符
dinglizhengmingq 定理证明器
dingliangtuxiangfenx 定量图像分析
dingqiweih 定期维护
dingshifenx 定时分析
dingshimaichongfenpeiq 定时脉冲分配器
dingshiq 定时器
dingshirenw 定时任务
dingshiyuesh 定时约束
dingshizhada 定时炸弹
dingwe 定位
dingweichongfuwuch 定位重复误差
dingweiq 定位器
dingweishijia 定位时间
dingweixinda 定位信道
dingxiangsousu 定向搜索
dingxingmiaosh 定性描述
dingxingtuil 定性推理
dingxingwul 定性物理
dingyihuab 定义画笔
dingyijiqizhinen 定义机器智能
dingyijiedua 定义阶段
dingyishujuleixin 定义数据类型
dingyixiandin 定义限定
dingyixin 定义性
dingyixingchuxia 定义性出现
dingyiy 定义域
dingzh 定址
diushizhongduanchulichengx 丢失中断处理程序
dongbinjiego 动宾结构
dongciduany 动词短语
dongciyuyixu 动词语义学
donghu 动画
donghuahuizh 动画绘制
dongjiebiaoj 冻结标记
donglongjinxiaocunruanjia 东龙进销存软件
dongta 动态
dongtaibangdin 动态绑定
dongtaibaoh 动态保护
dongtaicesh 动态测试
dongtaichongdingwe 动态重定位
dongtaichonggo 动态重构
dongtaichongmal 动态重码率
dongtaichul 动态处理
dongtaichuliqifenpe 动态处理器分配
dongtaicipi 动态词频
dongtaicunchufenpe 动态存储分配
dongtaicunchuguanl 动态存储管理
dongtaicunchuq 动态存储器
dongtaicuow 动态错误
dongtaidizhizhuanhua 动态地址转换
dongtaidiaod 动态调度
dongtaifangzhe 动态仿真
dongtaifenpaixunibia 动态分派虚拟表
dongtaifenpe 动态分配
dongtaifenx 动态分析
dongtaifenxiq 动态分析器
dongtaiguihu 动态规划
dongtaiguihuaf 动态规划法
dongtaihanzipingjunmachan 动态汉字平均码长
dongtaihuanchon 动态缓冲
dongtaihuanchongq 动态缓冲区
dongtaihuanchongqufenpe 动态缓冲区分配
dongtaijiy 动态记忆
dongtaijianweifenbuxish 动态键位分布系数
dongtaikongzh 动态控制
dongtailianjiek 动态链接库
dongtailiushuixia 动态流水线
dongtailuyouxuanzexiey 动态路由选择协议
dongtaimaoxia 动态冒险
dongtainiuxi 动态扭斜
dongtairongy 动态冗余
dongtaishengchengchengx 动态生成程序
dongtaishijieguihu 动态世界规划
dongtaishujubaoguol 动态数据包过滤
dongtaishujujiaohua 动态数据交换
dongtaishuaxi 动态刷新
dongtaisuijicunchuq 动态随机存储器
dongtaitingj 动态停机
dongtaiwanglu 动态网络
dongtaiwuch 动态误差
dongtaixiansh 动态显示
dongtaixiangguanxingjianch 动态相关性检查
dongtaiyouxianj 动态优先级
dongtaiyouxianjidiaod 动态优先级调度
dongtaiyouxianjisuanf 动态优先级算法
dongtaiyumin 动态域名
dongtaiyumingjiex 动态域名解析
dongtaizhujipeizhixiey 动态主机配置协议
dongtaizhuanyiyuc 动态转移预测
dongtaizicichongmal 动态字词重码率
dongtaizicipingjunmachan 动态字词平均码长
dongtaiziyuanfenpe 动态资源分配
dongy 动压
dongzuoguiz 动作规则
dongzuozh 动作者
doudon 抖动
duchudianl 读出电路
duchushijia 读出时间
duchuxia 读出线
dufangdaq 读放大器
dufangwe 读访问
duhouxi 读后写
dujunhen 读均衡
dulichengx 独立程序
dulichengxuzhuangruchengx 独立程序装入程序
dulifuwuq 独立服务器
dulixingguzhan 独立型故障
duliyanzhenghequere 独立验证和确认
dulian 度量
dulianggongj 度量工具
duliangkongjia 度量空间
duq 读取
durenw 读任务
duruwenjia 读入文件
duruyuany 读入原语
dushujuxia 读数据线
dusu 读锁
duxi 读写
duxiecito 读写磁头
duxiekon 读写孔
duxiekongzhidianl 读写控制电路
duxiezhouq 读写周期
duxinha 读信号
duxingnizhua 毒性逆转
duxuanzexia 读选择线
duzaoshen 读噪声
duanbia 段表
duanbiaodizh 段表地址
duanchangd 段长度
duandizh 段地址
duandia 端点
duandianbianm 端点编码
duandiankaigua 断点开关
duanduanjiam 端端加密
duanduanmiya 端端密钥
duanduiduanchuanson 端对端传送
duanfuga 段覆盖
duanha 段号
duanjiha 端记号
duanjianj 段间距
duanji 端接
duanjiediany 端接电压
duanjiedianyua 端接电源
duanjiedianz 端接电阻
duanjiedianzuq 端接电阻器
duanjieerjigua 端接二极管
duanjieq 端接器
duanka 断开
duanko 端口
duankoufanshef 端口反射法
duankoujiankongchengx 端口监控程序
duankousaomia 端口扫描
duankousaomiaogongj 端口扫描攻击 端口扫描工具
duanluguzhan 断路故障 短路故障
duanluq 断路器
duanluweizh 断路位置
duanqidiaod 短期调度
duanshicunchuxiton 段式存储系统
duanshoudaz 段首大字
duansu 段锁
duantijiaoxiey 段提交协议
duanxiton 端系统
duanxia 短线
duanxinfuw 短信服务
duanya 断言
duanyingsh 段映射
duanyujiegouguiz 短语结构规则
duanyujiegouqiy 短语结构歧义
duanyujiegoush 短语结构树
duanyujiegouyuf 短语结构语法
duanzhengsh 短整数
duibiducaozon 对比度操纵
duibidukuozha 对比度扩展
duibilingmind 对比灵敏度
duicefangzhe 对策仿真
duicelu 对策论
duiche 对称
duichencaozuoxiton 对称操作系统
duichenchuanshuxia 对称传输线
duichenmim 对称密码
duichenmimaxiton 对称密码系统
duichengjiamitizh 对称加密体制
duichengjinya 对称金钥
duichengmimaq 对称密码器
duichengmiya 对称密钥
duichengshiduochulij 对称式多处理机
duichengshimimaxu 对称式密码学
duiden 对等
duidipinghen 对地平衡
duihuakongzhikua 对话控制块
duihuamiya 对话密钥
duihuamoxin 对话模型
duihuaxiton 对话系统
duihua 对换
duihuanbia 对换表
duihuanchengx 对换程序
duihuanfangsh 对换方式
duihuanfenpeidanyua 对换分配单元
duihuanj 对换集
duihuanshijia 对换时间
duihuanyouxianj 对换优先级
duijiaohuafangf 对角化方法
duijiaoxiancesh 对角线测试
duili 队列 对流
duiliebia 队列表
duiliekongzhikua 队列控制块
duiouchanshengq 对偶产生器
duiouwan 对偶网
duiouyuanl 对偶原理
duiouyunsua 对偶运算
duipaix 堆排序
duiq 对齐
duiqida 对齐到
duixiangbiaozhif 对象标识符
duixiangguanlijiego 对象管理结构
duixiangguanliz 对象管理组
duixiangjianm 对象建模
duixiangjianmojish 对象建模技术
duixianglianji 对象连接
duixianglianjieyuqianr 对象链接与嵌入
duixiangmin 对象名
duixiangmoxin 对象模型
duixiangqingqiudail 对象请求代理
duixiangsh 对象式
duixiangshibianchengyuya 对象式编程语言
duixiangshichengxushej 对象式程序设计
duixiangshifangf 对象式方法
duixiangshifenx 对象式分析
duixiangshishej 对象式设计
duixiangshiyuya 对象式语言
duixiangt 对象图
duixiangyinyon 对象引用
duixiangzidia 对象字典
duiyingdia 对应点
duizha 堆栈
duizhanchajia 堆栈插件
duizhunwanglu 对准网络
duobaweibianmazifuj 多八位编码字符集
duobianliangkongzhiq 多变量控制器
duobianpaix 多遍排序
duobiantibingd 多变体病毒
duobianxingcaijia 多边形裁剪
duobianxingchuangko 多边形窗口
duobianxingfenji 多边形分解
duobianxingmianpia 多边形面片
duobianxingquxian 多边形取向
duobianxingtufenji 多边形凸分解
duobiaojish 多标记树
duob 多播
duobozhuganwan 多播主干网
duoceluexieshan 多策略协商
duocengmosh 多层模式
duocengyinzhiba 多层印制板
duochengfenbingd 多成分病毒
duochengx 多程序
duochidufenx 多尺度分析
duochon 多重
duochongchengxuzhuangr 多重程序装入
duochongchul 多重处理
duochongchulicaozuoxiton 多重处理操作系统
duochongcunqucunchuq 多重存取存储器
duochongguanx 多重关系
duochongj 多重集
duochongjichen 多重继承
duochulihuanjin 多处理环境
duochulij 多处理机
duochulijicaozuoxiton 多处理机操作系统
duochulijixiton 多处理机系统
duochuliq 多处理器
duochuliqidiaod 多处理器调度
duochuliqifenpe 多处理器分配
duodaitulingj 多带图灵机
duodaochengx 多道程序
duodaochengxufenpa 多道程序分派
duodaochengxushej 多道程序设计
duodizhijisuanj 多地址计算机
duodia 多点
duodianbiaoj 多点标记
duodianerjinzhiwenjianchuanson 多点二进制文件传送
duodianhuiy 多点会议
duodianjiha 多点记号
duodianjingzhituxiangjizhush 多点静止图像及注释
duodiankongzhiq 多点控制器
duodianlianji 多点连接
duodianluyo 多点路由
duodiantongxi 多点通信
duodiantongxinfuw 多点通信服务
duoduankoucunchuq 多端口存储器
duoduiduolianx 多对多联系
duoduixian 多对象
duoduiyilianx 多对一联系
duofenbianl 多分辨率
duofenbianlvfenx 多分辨率分析
duofenbianlvquxia 多分辨率曲线
duogongnengguan 多功能光
duogongxushitizaoxin 多工序实体造型
duoguzhan 多故障
duoguanlianchulij 多关联处理机
duoguangputuxian 多光谱图像
duoguoyuyanba 多国语言版
duohuilukongzh 多回路控制
duohuilutiaoji 多回路调节
duoj 多级
duojianqua 多级安全
duojifanku 多级反馈
duojifankuiduili 多级反馈队列
duojigaosuhuancu 多级高速缓存
duojimon 多级模拟
duojishebe 多级设备
duojisuanj 多计算机
duojisuanjixiton 多计算机系统
duojiwanglu 多级网络
duojiyouxianjizhongdua 多级优先级中断
duojizhongdua 多级中断
duojinchen 多进程
duoleiluoj 多类逻辑
duolihu 多例化
duolianji 多链接 多连接
duolianl 多链路
duol 多路
duolufenpeiq 多路分配器
duolutuil 多路推理
duoluzhuanhuantongda 多路转换通道
duomeit 多媒体
duomeitibianmushujuk 多媒体编目数据库
duomeitigerenjisuanj 多媒体个人计算机
duomeitihuiy 多媒体会议
duomeitijish 多媒体技术
duomeitijisuanj 多媒体计算机
duomeitikuozha 多媒体扩展
duomeitishujubanbenguanl 多媒体数据版本管理
duomeitishujucunchuguanl 多媒体数据存储管理
duomeitishujujiansu 多媒体数据检索
duomeitishujuk 多媒体数据库
duomeitishujuleixin 多媒体数据类型
duomeitishujumoxin 多媒体数据模型
duomeititongxi 多媒体通信
duomeitixiton 多媒体系统
duomeitixinxifuw 多媒体信息服务
duomeitixinxixiton 多媒体信息系统
duomeitiyanshenzhilingj 多媒体延伸指令集
duomeitiyew 多媒体业务
duominuoxiaoyin 多米诺效应
duomianticaijia 多面体裁剪
duomiantijianhu 多面体简化
duomiantimoxin 多面体模型
duomoshijieko 多模式接口
duomoxingxunihuanjin 多模型虚拟环境
duoquheiba 多区黑板
duorenw 多任务
duorenwuchul 多任务处理
duorenwuguanl 多任务管理
duoshifenjiaohua 多时分交换
duoshuj 多数据
duoshujuli 多数据流
duoshujuedingme 多数决定门
duoshuxingjuecexiton 多属性决策系统
duosuzhuzhuj 多宿主主机
duota 多态
duotaibianchengyuya 多态编程语言
duotaixin 多态性
duotongda 多通道
duotongdaochuansh 多通道传输
duotoutulingj 多头图灵机
duoweicunq 多维存取
duoweifenx 多维分析
duoweishujujiego 多维数据结构
duoweitulingj 多维图灵机
duowenzhongcaozuoxiton 多文种操作系统
duowenzhongxinxichul 多文种信息处理
duoxianchen 多线程
duoxianchengchul 多线程处理
duoxiangshiduishushend 多项式对数深度
duoxiangshiduishushijia 多项式对数时间
duoxiangshikeguiyu 多项式可归约
duoxiangshikeguiyued 多项式可归约的
duoxiangshikezhuanhua 多项式可转换
duoxiangshikongjia 多项式空间
duoxiangshipux 多项式谱系
duoxiangshishijia 多项式时间
duoxiangshishijianguiyu 多项式时间归约
duoxiangshiyouji 多项式有界
duoxiey 多协议
duoxieyiluyouq 多协议路由器
duoxindianla 多芯电缆
duoxinpianmokua 多芯片模块
duoxingzhush 多行注释
duoxuezhuj 多穴主机
duoy 多义
duoyikeguixin 多一可归性
duoyiwenf 多义文法
duoyinqin 多引擎
duoyongh 多用户
duoyonghucaozuoxiton 多用户操作系统
duoyonghukongzh 多用户控制
duoyonghuxiton 多用户系统
duoyouxianj 多优先级
duoyuzhongchulij 多语种处理机
duoyuzhongfany 多语种翻译
duoyuzhongxinxichulixiton 多语种信息处理系统
duoyuansuijituil 多元随机推理
duoyuantongjituil 多元统计推理
duozh 多址
duozhilin 多指令
duozhilingfash 多指令发射
duozhiluoj 多值逻辑
duozhiyila 多值依赖
duozhon 多重
duozhongdua 多终端
duozhongduanjiankongchengx 多终端监控程序
duozhonggongjifangfahunheshiyon 多种攻击方法混合使用
duozhongj 多重集
duozhongliulanq 多重浏览器
duozhongyichan 多重异常
duozhouqishixia 多周期实现
duozhut 多主体
duozhutichulihuanjin 多主体处理环境
duozhutituil 多主体推理
duozhutixiton 多主体系统
duoziji 多字节
duozijietuxingzifuj 多字节图形字符集
duozongxia 多总线
duozuoy 多作业
duozuoyechul 多作业处理
edingdiany 额定电压
edingfuza 额定负载
ewaicida 额外磁道
ewaishanq 额外扇区
ewaixinx 额外信息
eyidaim 恶意代码
eyiluoj 恶意逻辑
eyiruanjia 恶意软件
ercengjiaohua 二层交换
erchachazhaosh 二叉查找树
erchapaixush 二叉排序树
erchapandingt 二叉判定图
erchash 二叉树
erciqumia 二次曲面
ercixingxingnengzhibia 二次型性能指标
erdiantoush 二点透视
erfenchar 二分插入
erfensousu 二分搜索
erfent 二分图
erjigaosuhuancu 二级高速缓存
erjimiya 二级密钥
erjiecanshulianx 二阶参数连续
erjiejihelianx 二阶几何连续
erjieluoj 二阶逻辑
erjinzh 二进制
erjinzhidaduixian 二进制大对象
erjinzhidanyua 二进制单元
erjinzhishuz 二进制数字
erjinzhiwe 二进制位
erjinzhiwenjia 二进制文件
erjinzhiyunsua 二进制运算
erjinzhizif 二进制字符
erluguibin 二路归并
ernantuil 二难推理
ertongyuyanmoxin 儿童语言模型
ertongzaixianyinsiquanbaohuf 儿童在线隐私权保护法
eryuanguanx 二元关系
eryuanyuf 二元语法
eryuanyujiesh 二元预解式
erzhituxian 二值图像
fagua 法官
faguangerjiguanbeiguan 发光二极管背光
faguangerjiguanxiansh 发光二极管显示
faguangerjiguanyinshuaj 发光二极管印刷机
faladianlon 法拉电笼
fasanshujuanjif 发散束卷积法
fash 发射
fashejidianji 发射极点接
fashejixialadianz 发射极下拉电阻
fashengqua 发生权
fasongfangceluekuangji 发送方策略框架
fasongfangzijieliujiesh 发送方字节流结束
fasongqingch 发送清除
fasongzh 发送者
faxianli 法线流
faz 法则
fanbianyichengx 反编译程序
fanbianyiq 反编译器
fanb 反驳
fanchon 反冲
fancho 范畴
fanchoufenx 范畴分析
fanchouyuf 范畴语法
fanchuanwanglu 反传网络
fand 反读
fangenzon 反跟踪
fanguanx 泛关系
fanguan 泛光
fanhey 泛合一
fanhon 泛洪
fanhu 泛化
fanhuibia 反汇编
fanhuibianchengx 反汇编程序
fanhuibianq 反汇编器
fanhuihuif 返回恢复
fanhuilujin 返回路径
fankuibianjih 反馈边集合
fankuikongzh 反馈控制
fankuiqiaojieguzhan 反馈桥接故障
fanla 泛滥
fanl 范例 反例
fanlibiaosh 范例表示
fanlichongcu 范例重存
fanlichongyon 范例重用
fanlijiansu 范例检索
fanlijiansuowan 范例检索网
fanlijiego 范例结构
fanlik 范例库
fanlixiuzhen 范例修正
fanliyanzhen 范例验证
fanliyicunxiangsixin 范例依存相似性
fanm 反码
fanqietingzhuangzh 反窃听装置
fanshed 反射的
fanshedemianxiangduixiangbianchen 反射的面向对象编程
fanshediany 反射电压
fanshedingl 反射定律
fanshek 反射库
fanshel 反射率
fanshet 反射体
fanshexish 反射系数
fansh 范式
fantiz 繁体字
fantouyingsuanz 反投影算子
fanwe 范围
fanweijiexia 范围界限
fanxiangfuyon 反向复用
fanxianghuif 反向恢复
fanxiangjifeijiesho 反向计费接受
fanxiangjuyuwangxinda 反向局域网信道
fanxiangtuil 反向推理
fanxiangxinda 反向信道
fanxin 泛型
fanxingbianchen 泛型编程
fanxingle 泛型类
fanxuliehu 反序列化
fanyichengx 翻译程序
fanyijiabaik 翻译加百科
fanyila 反依赖
fanyiq 翻译器
fanyiruanjia 翻译软件
fanyituil 反绎推理
fanyingzhut 反应主体
fanga 方案
fangbi 方斌 方斌
fangbingd 防病毒
fangbingduchengx 防病毒程序
fangbingduruanjia 防病毒软件
fangdagongj 放大工具
fangfak 方法库
fangfamin 方法名
fangfaneibule 方法内部类
fangfancuosh 防范措施
fangfanshoudua 防范手段
fangfuzh 防复制
fanghansh 仿函数
fanghupingguheyanjiujigo 防护评估和研究机构
fanghutix 防护体系
fanghuxiaoxixiton 防护消息系统
fanghuoqian 防火墙
fangjiandieruanjia 防间谍软件
fanglajiyoujianruanjia 防垃圾邮件软件
fangq 放弃
fangqixuli 放弃序列
fangqietin 防窃听
fangshebianhua 仿射变换
fangshexinghes 放射性核素
fangshuiqian 防水墙
fangsongt 仿宋体
fangsu 放缩
fangweijiaocijil 方位角磁记录
fangwe 访问
fangwenbia 访问表
fangwencelu 访问策略
fangwenchongt 访问冲突
fangwendengj 访问等级
fangwenduanko 访问端口
fangwenezh 访问遏制
fangwenfancho 访问范畴
fangwengongxian 访问共享
fangwenguanl 访问管理
fangwenjibi 访问级别
fangwenjubuxin 访问局部性
fangwenjushouxin 访问局守性
fangwenjuzhe 访问矩阵
fangwenkongzh 访问控制
fangwenkongzhibia 访问控制表
fangwenkongzhicuosh 访问控制措施
fangwenkongzhifuw 访问控制服务
fangwenkongzhijizh 访问控制机制
fangwenkongzhiliebia 访问控制列表
fangwenkongzhisanyuanz 访问控制三元组
fangwenkongzhizidua 访问控制字段
fangwenkoulin 访问口令
fangwenleibi 访问类别
fangwenleixin 访问类型
fangwenlingpa 访问令牌
fangwenmosh 访问模式
fangwenq 访问期
fangwenqua 访问权
fangwenshijia 访问时间
fangwenshijianzuixiaohu 访问时间最小化
fangwenshouqua 访问授权
fangwentequa 访问特权
fangwenweizhijicunq 访问位置寄存器
fangwenxuk 访问许可
fangwenzhouq 访问周期
fangxiangxianglian 方向向量
fangxinxixielo 防信息泄漏
fangxinxixieloukongzhifanwe 防信息泄漏控制范围
fangxingkongzhiq 仿形控制器
fangxiutanruanjia 防嗅探软件
fangyanxu 方言学
fangyichengx 防疫程序
fangy 防御
fangyuduoyanghu 防御多样化
fangzhe 仿真
fangzhenchengx 仿真程序
fangzhendingxingtuil 仿真定性推理
fangzhenjisuanj 仿真计算机
fangzhenq 仿真器
fangzhenzhongdua 仿真终端
feibangf 诽谤法
feibaohecijil 非饱和磁记录
feibiranxin 非必然性
feichangguibianm 非常规编码
feichengzibujia 非成字部件
feichuantongjisuanj 非传统计算机
feidandiaotuil 非单调推理
feiduiche 非对称
feiduichenmim 非对称密码
feiduichenmimaxiton 非对称密码系统
feiduichenxuanzewan 非对称选择网
feiduichengjiamisuanf 非对称加密算法
feiduichengmiya 非对称密钥
feiduichengsuanf 非对称算法
feiduichengzhanzhen 非对称战争
feiertuosit 费尔托斯特
feiguochengyuya 非过程语言
feijidashiyinshuaj 非击打式印刷机
feijihu 非激活
feijisuanyanch 非计算延迟
feijiaohuanlianji 非交换连接
feijiechushicijil 非接触式磁记录
feijunshiq 非军事区
feijunyuncunchuqicunq 非均匀存储器存取
feijunyunduixiangmoxin 非均匀对象模型
feijunyunyoul 非均匀有理
feilingzh 非零值
feiliuxin 非流形
feiliuxingzaoxin 非流形造型
feime 非门
feimimixin 非秘密性
feimochuzhanzidongj 非抹除栈自动机
feipingbishuangjiaoxia 非屏蔽双绞线
feipingfanhanshuyila 非平凡函数依赖
feipinghengsh 非平衡树
feiqiangxiandiaod 非抢先调度
feiqiangxianduorenwuchul 非抢先多任务处理
feiqingqiufeny 非请求分页
feiquebaocaozu 非确保操作
feiquedingjisua 非确定计算
feiquedingkongjianfuzaxin 非确定空间复杂性
feiquedingshijianfuzaxin 非确定时间复杂性
feiquedingshijianpux 非确定时间谱系
